,Price
2020-08-14,86.25
2020-08-15,86.66143333333333
2020-08-16,87.07286666666667
2020-08-17,87.4843
2020-08-18,87.292
2020-08-19,86.7906
2020-08-20,87.5147
2020-08-21,88.2143
2020-08-22,88.13119999999999
2020-08-23,88.0481
2020-08-24,87.965
2020-08-25,89.1869
2020-08-26,89.2431
2020-08-27,88.609
2020-08-28,88.0613
2020-08-29,88.18063333333333
2020-08-30,88.29996666666668
2020-08-31,88.4193
2020-09-01,87.6711
2020-09-02,89.363
2020-09-03,89.22
2020-09-04,89.2496
2020-09-05,89.35206666666667
2020-09-06,89.45453333333333
2020-09-07,89.557
2020-09-08,89.8785
2020-09-09,88.96
2020-09-10,88.871
2020-09-11,88.845
2020-09-12,88.98653333333333
2020-09-13,89.12806666666667
2020-09-14,89.2696
2020-09-15,88.8433
2020-09-16,88.56
2020-09-17,89.12
2020-09-18,89.6902
2020-09-19,89.66680000000001
2020-09-20,89.6434
2020-09-21,89.62
2020-09-22,89.1158
2020-09-23,89.85
2020-09-24,89.965
2020-09-25,90.9321
2020-09-26,91.35233333333333
2020-09-27,91.77256666666668
2020-09-28,92.1928
2020-09-29,92.8593
2020-09-30,91.032
2020-10-01,90.8263
2020-10-02,91.625
2020-10-03,91.7626
2020-10-04,91.9002
2020-10-05,92.0378
2020-10-06,92.07
2020-10-07,91.8238
2020-10-08,90.9925
2020-10-09,90.81
2020-10-10,90.91116666666667
2020-10-11,91.01233333333333
2020-10-12,91.1135
2020-10-13,90.47
2020-10-14,91.2095
2020-10-15,91.4047
2020-10-16,91.244
2020-10-17,91.29433333333333
2020-10-18,91.34466666666667
2020-10-19,91.395
2020-10-20,91.4633
2020-10-21,90.9881
2020-10-22,90.5222
2020-10-23,90.3063
2020-10-24,90.30753333333332
2020-10-25,90.30876666666667
2020-10-26,90.31
2020-10-27,91.2448
2020-10-28,93.033
2020-10-29,92.0777
2020-10-30,92.6093
2020-10-31,92.97953333333334
2020-11-01,93.34976666666667
2020-11-02,93.72
2020-11-03,92.8885
2020-11-04,91.96844999999999
2020-11-05,91.0484
2020-11-06,91.9665
2020-11-07,91.39343333333333
2020-11-08,90.82036666666666
2020-11-09,90.2473
2020-11-10,90.4043
2020-11-11,90.8122
2020-11-12,91.2973
2020-11-13,91.6065
2020-11-14,91.15416666666667
2020-11-15,90.70183333333333
2020-11-16,90.2495
2020-11-17,90.45
2020-11-18,90.1821
2020-11-19,90.3377
2020-11-20,90.3653
2020-11-21,90.31063333333334
2020-11-22,90.25596666666667
2020-11-23,90.2013
2020-11-24,89.68
2020-11-25,90.0463
2020-11-26,90.2494
2020-11-27,90.7327
2020-11-28,90.88373333333332
2020-11-29,91.03476666666667
2020-11-30,91.1858
2020-12-01,91.491
2020-12-02,90.8786
2020-12-03,90.4008
2020-12-04,89.7943
2020-12-05,89.59556666666667
2020-12-06,89.39683333333333
2020-12-07,89.1981
2020-12-08,88.9843
2020-12-09,89.245
2020-12-10,88.6799
2020-12-11,88.4168
2020-12-12,88.84046666666666
2020-12-13,89.26413333333333
2020-12-14,89.6878
2020-12-15,89.235
2020-12-16,89.4774
2020-12-17,89.3579
2020-12-18,89.8439
2020-12-19,90.40636666666667
2020-12-20,90.96883333333334
2020-12-21,91.5313
2020-12-22,92.23
2020-12-23,91.4875
2020-12-24,90.0939
2020-12-25,90.565
2020-12-26,90.39346666666667
2020-12-27,90.22193333333333
2020-12-28,90.0504
2020-12-29,90.671
2020-12-30,91.5358
2020-12-31,91.5358
